,Text,Label
967,im trying return refund,negative
968,plugged find not thing worked,negative
969,excellent product,positive
970,earbud piece break easily,negative
971,lousy product,negative
972,phone try hard everything fails ability phone,negative
973,best charger seen market yet,positive
974,phone,positive
975,oh charger seems work fine,positive
976,fit ear not even need used sound better directed ear,positive
977,not enough volume,negative
978,echo unsatisfactory,negative
979,could take time quality poor,negative
980,dont waste money,negative
981,going first review product,negative
982,not enough charging current,negative
983,much hype phone best mistake,negative
984,also cannot take picture case covered,negative
985,phone fall easily,negative
986,didnt work people not hear talk,negative
987,feature really use,negative
988,im really disappointed charger doesnt work,negative
989,painful ear,negative
990,one day blew,negative
991,disappointed,negative
992,kind around,negative
993,screen get easily touch ear face,negative
994,piece junk lose call phone,negative
995,item not match picture,negative
996,thing disappoint red,negative
997,not call unit never worked,negative
998,movie young man,negative
999,not sure lost flat character audience nearly half walked,negative
1000,black white clever camera angle movie disappointed became even ridiculous acting poor plot line almost,negative
1001,little music anything speak,negative
1002,best scene movie trying find song keep running head,positive
1003,rest movie lack art charm meaning work guess empty,negative
1004,wasted two hour,negative
1005,saw movie today thought good effort good message kid,positive
1006,bit predictable,negative
1007,loved casting jimmy buffet,positive
1008,baby adorable,positive
1009,movie showed lot best made look appealing,positive
1010,song best hilarious,positive
1011,cool,positive
1012,right case movie delivers everything almost right face,positive
1013,average acting main person low budget clearly see,negative
1014,review long since consider tale two sister single greatest film ever made,positive
1015,ill put gem movie term cinematography acting editing directing aspect filmmaking,positive
1016,practically perfect true masterpiece sea faux masterpiece,positive
1017,film easily constructed history cinema think no film something important every minute word content level film enough easily fill dozen film anyone right mind ask anything movie quite simply highest form cinema imaginable yes film rather significant amount piece fit together create beautiful picture short film certainly no graphic far best part game number one best th game series deserves strong love game massive level massive character massive game waste money game kind money wasted properly actually graphic good time today graphic crap say canada fun game game rock buy play enjoy love pure brilliance flick idea lame take character mediocre pg film make complete changing family movie wasnt least bit interested not film would unfunny generic also managed give away entire movie im not every moment every plot point every joke told not funny even talented cant save dont fare much better people like morgan jonah hill ed wasted story predictable lazy real effect work presence scene worst obvious work ive ever seen whatever cost much didnt quality thats sure film despite perhaps obviously budget im glad film didnt go obvious choice film certainly would addition one lovely song ever written french also one lady ever grace screen hard not fall love girl negative enough cause regret another hour life wasted front screen long whiny pointless recommend waiting future let one go excellent cast story line performance totally believable anne utterly convincing portrayal sat tv screen give one think tom good actor enjoyed reading book child little disappointed movie one character totally annoying voice give feeling totally scene absolutely no warmth charm scene character movie totally performance not actor twice much not whether theyre delivering line well whether line good quite honestly often not good often dialogue doesnt really follow one line another fit unpredictable energy honestly found hard follow badly generally great thing wouldnt say theyre worth hour time though suspense good line pg especially liked choice parent movie could dialog writing movie made better selection want movie thats not gross give great choice alexander great film amazing film artist one important lived im glad pretentious piece didnt big shot gonna help movie arent movie business,negative
1018,first movie ive given year,positive
1019,ever movie needed,positive
1020,overall film interesting,positive
1021,plus relatively short run time,positive
1022,give one look,positive
1023,gave,positive
1024,wind lion well written superbly acted,positive
1025,true classic,positive
1026,actually turned pretty decent far film go,positive
1027,definitely worth checking,positive
1028,problem script,negative
1030,nothing believable,negative
1031,suspense feeling frustration,negative
1032,heaven terrific film predictable unpredictable time,positive
1033,scene often funny occasionally touching character life going,positive
1034,cast actor trip,positive
1035,portrayal touching funny time making fun church,positive
1036,looking movie terrific cast good way look tonight uplifting ending give one try,positive
1037,dont think disappointed,positive
1038,frankly club kind embarrassing watch lane film bad,negative
1039,acting bad extremely,negative
1040,predictable even chick flick,negative
1041,correct,negative
1042,disappointing,negative
1043,thing really worth watching scenery house beautiful,positive
1044,love lane ive never seen movie lousy,negative
1045,hour half wish could bring back,negative
1046,term writing fresh bold,positive
1047,acting help writing along well maybe sister could played better real joy watch,positive
1048,directing cinematography arent quite good,negative
1049,movie boring sometimes found occupied paper instead watching never happened movie,negative
1050,sometimes embarrassing look away,negative
1051,directing seems pretentious,negative
1052,scene,negative
1053,generally line plot average episode,negative
1054,scene whether not accused pure horror really stupid,negative
1055,given however,positive
1056,really liked,positive
1057,great film great director,positive
1058,movie edge seat made somewhat afraid go car end night,positive
1059,music film really nice,positive
1060,id advise anyone go see,positive
1061,brilliant,positive
1063,liked movie way much,positive
1064,problem thought actor playing low rent,negative
1065,world certainly must see anyone no,positive
1066,however didnt make fact overall tremendously boring movie,negative
1067,no chemistry sandra bullock film couldnt understand would consider even chick supposedly,negative
1068,several moment movie didnt need slow moving,negative
1069,poor remake best friend,negative
1070,great disappointment,negative
1071,cannot believe actor film,negative
1072,could not stand even watch long fear losing iq,negative
1073,guess nobody network watched putting,negative
1074,rating go low awful time get negative number case,negative
1075,saw last night unsatisfactory experience,negative
1076,unfortunately direction scene scene passed little way dramatic tension conflict,negative
1077,central theme film handled no depth imagination,negative
1078,pretty picture world cannot make piece work flawed core,negative
1079,hour half waste time following bunch pretty high whine life,negative
1080,cant hell barely understand,negative
1081,definitely cult classic well worth viewing others,positive
1082,movie pure disaster story stupid editing worst seen incredibly,negative
1083,fish badly made shot time film,negative
1084,truly truly bad film,negative
1085,acting terrible writing worse,negative
1086,possible way movie could would,negative
1087,paid much,negative
1088,also real treat see quinn playing crazy,positive
1089,boring,negative
1090,no plot whatsoever,negative
1091,no plot,negative
1092,horrible,negative
1093,worst hour half gosh,negative
1094,minute get,negative
1095,hate movie like,negative
1096,yeah movie pretty much sucked,negative
1097,no plot storyline,negative
1098,go see movie bring keep occupied,negative
1099,awful,negative
1100,dont think ive ever gone movie disliked much,negative
1101,good thing cost five dollar would mad id paid see crap,negative
1102,nobody character theyre cardboard cutout stereotype predictably,negative
1103,bad film bad writing good ugly cartoon crafted paul people cant anything bold picture,negative
1104,depressing little nothing nothing already know racism bad thing,negative
1105,still like movie woman there not enough movie like one,positive
1106,brain attempt part,negative
1107,left experience watching film took good two hour fully,negative
1108,movie part horror film,negative
1109,certainly not mean good way,negative
1110,mean terrible way,negative
1111,film no redeeming feature,negative
1112,everything appalling,negative
1113,camerawork present u setting imaginable ie,negative
1114,story beyond stupid,negative
1115,script script,negative
1116,kid annoying,negative
1117,lead man,negative
1118,utterly without level torture,negative
1119,ill even say torture,negative
1120,maybe would reasonable explanation,negative
1121,not pleasant,negative
1122,highly,negative
1123,premise sound stupid thats,negative
1124,yes bad,negative
1125,nothing recommend,negative
1126,excellent performance m,positive
1127,showed right could carry silent era wanted see silent work doesnt seem,positive
1128,also great see silent screenwriter hasnt missed step going silent sound,positive
1129,movie writing needed suspense,negative
1130,many close ups,negative
1131,movie seemed drag didnt really work freedom,negative
1132,movie definitely average rent,negative
1133,youll love movie bad bad film way long definitely one bad one movie received great quality film age john wayne incredible job young movie industry screen presence thought even though actor screen think must see older john wayne film really dont see anyone could enjoy movie dont think ive ever seen movie half boring selfindulgent piece junk probably would better director hadnt spent movie art work really isnt noteworthy another thing didnt really like character got face blood would forth soon jamie absolutely ray charles performance simply genius film owned daughter owned great fire,positive
1134,fact hard remember part ray charles acted not played man ray charles ray charles life provided excellent material film go well beyond another movie hitchcock great director mostly find film total waste time watch hitchcock pretty much thriller movie audience film hence whole story lack certain energy plot simply like machine addition new scene usual hitchcock flaw mishima extremely uninteresting chilly movie chilly flat dont hold attention rest awful singing song etc bore piece movie anyone else schrader made full lousy film first watched movie loved totally music dancing everything however recently watched whole thing dvd completely struck extremely stupid storyline contained hole frankly whole lot crap dancing mean realistic world would never gotten whole thing quite pathetic character also lacked depth talk awful not waste time horrible worst dialogue could go really made direction poor actor cant even tell talent not pathetic line speak director gave no action check director see film didnt would not even good made tv flick good made film great film might one greatest film ever made film great actor master director significant least significant theme aerial scene thrilled sens imagination character one might deeply care film fails movie lack visual interest drama feeling narrative no actress worse used june movie yet enjoy watching unfortunately bad movie plain bad bad script bad direction horrible acting make one plain bad dialogue sucked called soundtrack sucked acting sucked sucked nice funny funny overall movie cheap trash movie not funny considering came feeling angry spoiler whatever else cant said superbly crafted cinematography simply stunning say least fx nothing not show offer little bit everything parent kid fx fan wasnt single sour note struck either surprisingly solid casting thing job well done thanks good movie like done released one best mexican movie ever one le even mexican no matter felt rank highly great incredible performance attention given every character complex psychological love hope tremendous excellent drama excellent thriller excellent film best everything film simply incredible truly take journey eye soul child black water thriller completely flick expectation experience performance real gripping extremely well done indeed black water website thats used real location fabulous thoroughly enjoyed took control series im not sure trying film turn good day feeling night disturbing memory guess lot beautiful place forced like everything movie lame movie really dont even get started jerky camerawork saw theater thought going sick summary werent witty plot well said id let one go acting bad really bad even billy couldnt script worse camerawork bad rating amazing possibly best trilogy time never cease one favourite director one talented director history cinema use french three film nothing short incredible every shot every scene like work art three visually appealing movie ive ever seen subtle three film awesome mention huge spoiler loved ending character three film remaining disaster young judge together old man watching tv suffering many year couldnt think better way end film smile face great way wrap amazing film trilogy recommend everyone love film movie work art movie trilogy literally vomited watching film think one people found another one performance stunning story told year earlier really unfolds leaf room character wonderful location story contrast beautiful directed film sublime cast im movie living first movie year working experience found offensive intelligence someone poetry delivers often ridiculous story bunch scene pretentious dialogue get worst kind movie reviewer pretentious crap,negative
1135,find movie intelligent even masterful say intelligence imagination obviously used try make sense pitiful attempt human nature try make sense thing,negative
1136,one thing well im freedom disbelief female character much,negative
1137,fun funny movie,positive
1138,highly entertaining angle,positive
1139,feature array memorable nut,positive
1140,get see run around play game dangerous,positive
1141,even sweet moment,positive
1142,telephone man really funny reaction nut truly genuine,positive
1143,character film tremendously well played,positive
1144,really find funny,positive
1145,actually smart movie,positive
1146,brilliant twist ending,positive
1147,love ending perfect youll shed thrilled seeing movie like never forget not cult cult classic depth character man underneath dry dialogue movie terrible scene terrible playing like theyre year old shot foot wide etc havent seen dont waste time call movie drama ridiculous started watching didnt believe character particular relationship bakery assistant waitress didnt work movie gave feeling watching play rather film character storyline lot like stage time assistant bored didnt care happened next glad didnt pay see didnt laugh even smile wasnt anything one big really good show watch child year old definitely super de pretty funny cute kid cool not even bad enough make list wonderfully terrible movie,negative
1148,lame,negative
1149,guy said he better dialogue right,negative
1150,everything movie stupid,negative
1151,even love bad movie not watch movie,negative
1153,would give series plus could,positive
1154,think best actor actress character real,positive
1155,must say taped find watching,positive
1156,know gave,positive
1157,dont know exactly movie movie become special part memory,positive
1158,totally absolutely recommend movie anyone like good wholesome family movie exactly,positive
1159,thing four kid get absolutely hilarious watch,positive
1160,one best movie show strong,positive
1161,much interesting action suspense le,positive
1162,everything acting cinematography solid,positive
1163,definitely worth checking,positive
1164,talented many way writing portraying different character screen,positive
1165,movie edge,positive
1166,pleased know modern day genius letting art drive taking u audience,positive
1167,new character werent memorable found forgetting,negative
1168,felt though going absolutely nothing whatsoever,negative
1169,didnt make scared make towards character simply annoying,negative
1170,jerky camera also annoying,negative
1171,plot pretty much every cheap horror,negative
1172,pathetic attempt give character depth didnt really work rest plot,negative
1173,guess supposed clever twist shed light situation stupid,negative
1174,see probably leave,negative
1175,play good role hot get drago appears cool usual help make enjoyable movie good acting decent budget,positive
1176,awesome movie bought,positive
1177,really loved story line bear kinda anyone question ask away,positive
1178,totally unfunny movie top pathetic throughout whole minute utter torture probably looked watch time,negative
1179,lucy much crap low quite depressing,negative
1180,movie make sick watching make stupid minute,negative
1181,god never get minute back,negative
1182,think wonderful part literally full wonder work,positive
1183,set especially work camera beautiful effective,positive
1184,could used set,positive
1185,story nature man art,positive
1186,watching film wanted learn work artist,positive
1187,highly recommend movie anyone interested art poetry theater japanese history,positive
1188,wind lion see wonderful age,positive
1189,make story different terrific production value photography composition editing terrific casting brian playing history,positive
1190,though wind lion told largely eye son every member family identify one character whether john huston john steve ruthless big,positive
1191,high best,positive
1192,think robert ryans best film someone like father real father although never murdered anyone second world war made worse,positive
1193,humour get get day,positive
1194,mother brother saw robert portraying type man good type impressed,positive
1195,almost song cover girl not,negative
1196,annoying thing cover girl way put,negative
1197,unfortunately cover girl example hollywood used woman,negative
1198,thus many every part quite well,positive
1199,good cinematography also make look beautiful,positive
1200,good love undoubtedly film worth seeing,positive
1201,people first film making think excellent job,positive
1202,popular cinema good house good reaction plenty,positive
1203,film thats felt came cinema,positive
1204,humour positive,positive
1205,rather enjoyed,positive
1206,liked,positive
1207,couldnt take seriously,negative
1208,really created unique feeling though,positive
1209,excellent job script,positive
1210,world better garbage today,positive
1211,role played well,positive
1212,not not right,positive
1213,camera really like movie,positive
1214,would role ready script,positive
1215,european movie nice time living although circumstance different,positive
1216,fan movie sucked really bad,negative
1217,even worse,negative
1218,movie bad,negative
1219,like used couple maybe poor,negative
1220,blew,negative
1221,movie beautiful scamp little he part caught angel scamp singing ive never feeling totally recommend coming special june cover scamp garbage angel underneath,positive
1222,cant explain movie junkyard scene junkyard dog something funny love come new feature,positive
1223,disgusting piece american,negative
1224,show made american stupid full clichés elsewhere,negative
1225,almost everyone involved must return acting utterly predictable bad script pile garbage round,negative
1226,wish could enter negative value,negative
1227,set bad wouldnt look place episode,negative
1228,use throughout movie well bad acting bad kind word no continuity scene thrown no reason whatsoever looked like made corn box directorial style,negative
1229,oh yeah storyline pathetic,negative
1230,hate writing bad review film especially really like star film bad dont believe one second anyone could proud,negative
1231,not filmmaker director would head sand id spent whatever amount money time movie,negative
1232,short waste time energy would not recommend anyone ever see film,negative
1233,came free dvd player bought still turned thing,negative
1234,no setting,negative
1235,interesting premise billy drago always good dangerous side note id love see drago flick together talk,positive
1236,soundtrack wasnt terrible either,positive
1237,drago terrible directing worse perhaps dialog camera work barely,negative
1238,still set got big scale,positive
1239,yes thing sake really core problem film much going without real explanation,negative
1240,good job quite,positive
1241,plot didnt much film watched weird glance,negative
1242,let talk seeing bad idea hated,negative
1243,last minute movie also not bad well,positive
1244,totally odd line,negative
1245,acting wooden though no worse period movie,negative
1246,like cable summary sounded interesting watched twice already probably,positive
1247,believe screenwriter good job loose end,positive
1248,score mostly plot,positive
1249,wont say dont like spoiler dont want one believe film worth time,positive
1250,wow bad film,negative
1251,not frightening least barely,negative
1252,plot doesnt together acting absolutely appalling,negative
1253,not even good value,negative
1254,wasnt oscar material,negative
1255,youd iq particularly stupid not see one coming,negative
1256,film use word insult public,negative
1257,someone involved knew together narrative,negative
1258,get simply there nothing,negative
1259,one not watched recently movie channel disappointed,negative
1260,know contract player little control acting bad script,negative
1261,even bad brian almost unrecognizable,negative
1262,considering relation screen stanwyck surprising little chemistry screen two,negative
1263,premise film ridiculous u,negative
1264,death row scene entirely,negative
1265,thing worse acting singing,negative
1266,whatever going missed entirely,negative
1267,deeply impressed character played,positive
1268,knew saw film great thing come actor,positive
1269,cheap movie poor lot style think chow fat better cheesy clichés thrown ready poorly roll john,negative
1270,even look awful,negative
1271,no point proceeding look remotely like,negative
1272,plot predictable ending like mercy killing,negative
1273,awful dialogue overacting everyone get shot top real waste space time,negative
1274,bad movie not scared,negative
1275,dialogue thing make little sense,negative
1276,minute footage wasted show mediocre actor awkwardly enough make almost always english sometimes may may not made word,negative
1277,directing best,negative
1278,hackneyed writing certainly made even worse bad directing,negative
1279,course acting blah,negative
1280,acting whole cast could put scale perfectly overacting,negative
1281,finally get ending wouldve great handled people not,negative
1282,loved movie great portrayal family share ups end knew special love,positive
1283,seen many movie god one best though came year ago,positive
1284,movie contained cast loved opened eye see actor havent seen,positive
1285,movie kind long length enjoyed every minute,positive
1286,overall rate movie scale,positive
1287,not air enough anyone know store let know,positive
1288,particularly remember sens music would little warning even le meaning,negative
1289,sort afternoon not job,negative
1290,totally different load black comedy film get see remember,positive
1291,movie creates fascinating every way,positive
1292,movie really got,positive
1293,see,positive
1294,really hope behind movie make movie continue kinda weird style,positive
1295,forgot casting superb perfect role man doesnt understand,positive
1296,movie good humorous life,positive
1297,found beautiful enjoyable uplifting,positive
1298,film filmed,positive
1299,later found lost power film,positive
1300,entire audience conclusion film,positive
1301,left theater step joy heart hope human race,positive
1302,wholesome appearance give fine performance,positive
1303,rest cast also play well,positive
1304,cinematography noteworthy including fine,positive
1305,ten minute film started second,negative
1306,half way film started dislike,negative
1307,time film ended not disliked,negative
1308,film lack convincing script,negative
1309,script look written began finished script,negative
1310,thing happen character change plot no real reason script call,negative
1311,cast good,positive
1312,worth checking,positive
1313,probably show ever seen entire life,negative
1314,annoying show ever seen,negative
1315,everything bad,negative
1316,could not understand kind would produce mess first place not mention several season,negative
1317,script bad bad contains joke normally see rated r movie,negative
1318,casting also horrible cause see really really bad actor period,negative
1319,final word show real torture,negative
1320,time away reality,negative
1321,watching machine around wouldnt hurt eye much show,negative
1322,rating note show bad even mother cast pull daughter show,negative
1323,th century house not quite implausible bore movie,negative
1324,full unconvincing cardboard character written also produced surprisingly directed jean one would expect great deal,negative
1325,character turn,negative
1326,losing early proceeding totally implausible unconvincing,negative
1327,isnt enough mess movie picture also use studio set indoor,negative
1328,whatever documentary beyond,negative
1329,serious spoiler movie huge disappointment,negative
1330,many problem dont know start,negative
1331,cast great,positive
1332,steve martin delivers really funny performance class white guy,positive
1333,add betty white jean smart great cast everyone played part really well,positive
1334,movie make lot serious,negative
1335,first enough racial stereotype racial everyone,negative
1336,movie racial towards black cast return,negative
1337,putting race card aside let look flaw film character,negative
1338,no real plot,negative
1339,wouldnt see movie free,negative
1340,important film cinema history,positive
1341,second appearance mickey mouse following silent crazy earlier year probably famous,positive
1342,dont yet hear mickey speak sound effect music throughout take huge crowd,positive
1343,however seeing short year amazed film actually,positive
1344,adorable seeing mickey playing turkey highly imaginative occasionally way,positive
1345,clever real film still rank among best film even wonderful year,positive
1346,ruthless one minute ruthless killer next minute completely unconvincing,negative
1347,im terribly disappointed film would receive many especially far deserving work film,negative
1348,original soul masterpiece,positive
1349,john canada filmed one greatest ever grace,positive
1350,dont think redeeming remake,negative
1351,may bad film ever made,negative
1352,bad,negative
1353,movie solid example bad plot bad idea way,negative
1354,shame see good actor like james make living mess like,negative
1355,thought bad,negative
1356,film terrible credit version watchable,negative
1357,let start acting especially lead bad,negative
1358,script big flawed mess,negative
1359,best example dumb writing turn back human removing piece,negative
1360,director paul also weak monster movie clearly doesnt know pace film,negative
1361,movie terribly boring place,negative
1362,lighting awful,negative
1363,film look cheap bland,negative
1364,one disappointing lack notable,negative
1365,never worked well past certainly doesnt work,negative
1366,visual effect awful,negative
1367,opening sequence space looked like could created sake,negative
1368,gas end awful,negative
1369,like consider fair ill give credit credit effect actually pretty cool,positive
1370,love teeth,positive
1371,sum film terrible cheaply made horror movie avoided like,negative
1372,not recommended,negative
1373,almost unbearable watch screen little no terrible,negative
1374,aside terrible lead film load,negative
1375,understand supposed cheap comedy doesnt mean completely insult intelligence writing incredibly hackneyed offensive,negative
1376,talent wasted pg rating certainly wont allow,negative
1377,film spot jonah hill look almost unrecognizable fan recent due amount weight lost,positive
1378,first movie spent remake little else,negative
1379,budget limited,negative
1380,not cast also script much earlier classic,negative
1381,however no decent acting action location work balance thing,negative
1382,le,negative
1383,failed great part original,negative
1384,generally lacked imagination,negative
1385,not recommended,negative
1386,possible movie get worse,negative
1387,no plot keep going first place,negative
1388,even woman finally show no sign improvement expected thing happen time film might far asleep,negative
1389,beware not cult movie trash period,negative
1390,cant believe there even,negative
1391,giving bad review,negative
1392,child truly enjoyed show say enjoyed big time even cartoon,positive
1393,tiny kept vibe one popular funny cartoon ever created,positive
1394,memory say enjoyed every single episode product show,positive
1395,easily none cartoon made laugh tender way getting dark,positive
1396,character funny not true lead character,positive
1397,every single character hilarious deserved called lead,positive
1398,every element story top painful,negative
1399,line seem written fifteen year old though trying oh hard sound like fifteen year old would really know well talk,negative
1400,nice energy level obviously comfortable front camera,positive
1401,simply no excuse something poorly done,negative
1402,saw movie thought stupid movie,negative
1403,even stupid thought idea volcano los angeles,negative
1404,honest unbelievable nonsense,negative
1405,conclusion not bother movie volcano los angeles nothing nonsense,negative
1406,story line awful,negative
1407,painful,negative
1408,absolutely abysmal,negative
1409,there also enough film make vomit,negative
1410,dont waste time watching film,negative
1411,believe black done well,positive
1412,character interesting want find longer movie go think people surprised doesnt make,positive
1413,go watch,positive
1414,watching,negative
1415,funny,positive
1416,rating,negative
1417,character interesting really care,positive
1418,classic great soundtrack song ending credit,positive
1419,dont miss,positive
1420,masterful piece filmmaking many theme occasionally study selfindulgent year span aerial love dedication art experience versus practical versus,positive
1421,mature subtle script occasionally brings dramatic focus underlying well served perfect performance apart odd though perhaps direction time character often mention,positive
1422,exquisite visual composition moment elegant use camera angle lighting including faux home movie footage wonder joy,positive
1423,beautiful look relationship convincing narrative engaging master work,positive
1424,basic premise wasted since focus documentary,negative
1425,film fails level,negative
1426,avoid cost,negative
1427,saw film christmas great film,positive
1428,thought errol flynn brilliant since become favourite actor,positive
1429,acting de brilliant ending fantastic,positive
1430,always known errol flynn brilliant actor favourite actor watching film child,positive
1431,wasnt watched film great actually,positive
1432,ill give film,positive
1433,know nobody could much well dull,negative
1434,really didnt seem want didnt get involved guest,negative
1435,lovely little thriller hitchcock lot nice surrounding murdered child nasty church plot,positive
1436,jimmy ever great hitchcock story along cool function lack black white original,positive
1437,yet another wonderful film great master,positive
1438,say film excellently produced top rating typical film,positive
1439,excellently produced one best,positive
1440,entertaining,positive
1441,sort film thats joy watch,positive
1442,there barely boring moment film plenty humorous part,positive
1443,cast always entertaining usual,positive
1444,overall delight,positive
1445,movie awful couldnt even created,negative
1446,film lack real tension used throughout bit say least say,negative
1447,least said acting better,negative
1448,movie excellent job revealing incredible south africa,positive
1449,believe every one see movie think people outside south africa understand past process,positive
1450,nothing short film,positive
1451,acting fantastic story together dog must rent see,positive
1452,dont afraid worth little,positive
1453,excellent performance,positive
1454,still good actor around,positive
1455,also great directing photography,positive
1456,true shakespear must shakespear fan,positive
1457,macbeth final brief gave moral decay dark force human face make interesting,positive
1458,lady macbeth time sometimes look like girl taste blood evil,positive
1459,love death decay one,positive
1460,witty delightful adaptation book thoroughly deserving,positive
1461,special mention made superb music score sound effect element make memorable enjoyable cartoon,positive
1462,however paul schrader indeed made film mishima superb complex,positive
1463,also notable john fine crisp beautifully colored cinematography great production design costume went memorable costume received well deserved oscar,positive
1464,even allowing poor production value time kind,negative
1465,unless youre visually film work skip one,negative
1466,watch however small actress playing sister wonderful job role,positive
1467,not good,negative
1468,music predictably,negative
1469,film dropped ball,negative
1470,stunning movie,positive
1471,moving,positive
1472,felt like gripping intelligent stage play without overly feeling one actually get watching people stage play white,positive
1473,main player,positive
1474,tom wilkinson broke heart end everyone judging amount hand going among,positive
1476,he,positive
1477,go see,positive
1478,excellent film,positive
1479,aerial scene,positive
1480,also right balance war love,positive
1481,film give meaning never history human conflict much many,positive
1482,good movie really make difference,positive
1483,good film great director,positive
1484,definitely one better documentary seen looking family relationship,positive
1485,many continuity one user different joes one got fact joes hair seemed change scene scene,negative
1486,great movie,positive
1487,star,positive
1488,cant see movie anyone come fear,negative
1489,bad actually worth seeing reason,negative
1490,brilliant piece cinema,positive
1491,shot using faux documentary style watkins creates film like no,positive
1492,one peter watkins film,positive
1493,advise look,positive
1494,wont regret,positive
1495,highly recommended,positive
1496,well keep thinking bad,negative
1497,mediocre hollow laughable predictable piece garbage,negative
1498,case bad laughable,negative
1499,bad performance play computer home time,negative
1500,film nothing show ridiculous action scene,negative
1501,awful,negative
1502,still bad actress face picture,negative
1503,result well shame,negative
1504,film mind,negative
1505,one worst show time,negative
1506,show would begin smart ed comment would totally wall,negative
1507,fat computer unbelievable girl actor,negative
1508,never heard except cole totally unbelievable part,negative
1509,every time opened mouth expect hear see kid plug mercy killing horrible show,negative
1510,story unbelievable actor,negative
1511,lame would best way describe,negative
1512,stanwyck morgan perfectly cast many way modern christmas,positive
1513,film casting alexander character,positive
1514,attractive set used throughout film gem,positive
1515,im big fan game movie disgrace,negative
1516,line cut audio everything wrong,negative
1517,find better movie,negative
1518,top line dont waste time money one bad come,negative
1519,movie put sleep forever,negative
1520,thats id describe film,negative
1521,mediocre every aspect dull uninteresting mess one movie ive seen,negative
1522,isnt even achievement movie,negative
1523,empty hollow movie,negative
1524,seriously not worth wasting kid time,negative
1525,avoid avoid avoid,negative
1526,drive mad,negative
1527,good,positive
1528,nice late night viewing,positive
1529,movie full wonderful dancing hence,positive
1530,great music terrific scenery,positive
1531,tough issue grace course spoiler,positive
1532,happy wonderful feel good ending,positive
1533,point journey journey touch every member family,positive
1534,one movie need see whenever come mind fact already,positive
1535,nothing new,negative
1536,done second movie,negative
1537,movie almost no action scene little comedy,negative
1538,plot hole pair direction editing,negative
1539,earth film,negative
1540,saw film recommend,positive
1541,good plot hold complete attention acting superb tom wilkinson fantastic emily also good,positive
1542,good film indeed great love,positive
1543,tom character man not prepared begin take matter hand story great actor give performance make feel character suffering,positive
1544,emily character strong give quick glance understand everything,positive
1545,despite liked movie,positive
1546,fact liked better liked better attempt,positive
1547,pretty good place compelling first dance scene,positive
1548,im big fan series mostly due anne style,positive
1549,guess liked believable,positive
1550,scene end,negative
1551,thought acting,positive
1552,better right,positive
1553,charming film wonderful sentiment heart,positive
1554,rare filmmaker take time tell moral tale care love doesnt fall trap overly,positive
1555,ten truly lovely film,positive
1556,early film future fulci good addition giallo,positive
1557,one best italian early,positive
1558,scene,positive
1559,scene strong,negative
1560,film well made impressive camerawork solid acting effective music particularly good female sound like coming hill,positive
1561,still wild stuff though highly recommended fan giallo cinema,positive
1562,movie interesting beginning end,positive
1563,liked way character ready everything stay son,positive
1564,movie also revealing,positive
1565,personally think show people learn find compromise self without people,positive
1566,boring,negative
1567,clichés lazy writing come thick fast,negative
1568,p scene movie cool central character find room blown,positive
1569,fresh subtle rather sublime effect,positive
1570,italian reviewer called small great film thats right,positive
1571,actor give wonderful performance especially jamie beginning strange event part cool star,positive
1572,learn lot real inside emotion people movie lot movie business,positive
1573,movie movie situation beginning game played acting fascinating,positive
1574,also music mark possibly best score ive ever heard,positive
1575,wont forget movie,positive
1576,film made,negative
1577,film look,negative
1578,result film dont look right,negative
1579,none engaging,negative
1580,plot nonsense doesnt interest slightest way,negative
1581,not worth one second time,negative
1582,saw child tv back loved,positive
1583,duet doctor beginning movie perfect exchange one movie made well cold war biggest fear crashed,positive
1584,movie awesome,positive
1585,loved really scary,positive
1586,love movie horror movie one rank way,positive
1587,want real rent one,positive
1589,extraordinary film,positive
1590,courtroom drama compelling american frightening,positive
1591,film highlight flaw process not discovering rather present better court,positive
1592,film well paced understated one best courtroom documentary ive seen,positive
1593,mostly tv drama get boost fine performance cole,positive
1594,predictable not bad watch,positive
1595,clear range ability pull part,positive
1596,carry movie well,positive
1597,give everything right seems good understanding underlying psychological,positive
1598,wonderful watch hope get released video dvd,positive
1599,piece trash ever released beyond acting story character supposedly special effect wrong,negative
1600,fact smell like,negative
1601,avoid cost,negative
1602,star v final worst series,negative
1603,acting involved like bad making seem old look real life special effect like pack fall,negative
1604,attempt pitiful story awful bear thinking basically find god seriously didnt care film oh not mention belly dance,negative
1605,place good film garbage,negative
1606,worst one series,negative
1607,editing editing film phenomenal opinion,positive
1608,song could explain emotion better life talk song old man neil young played many emotion,positive
1609,cinematography film shot interesting way,positive
1610,course footage film,positive
1611,film offer many delight,positive
1612,beautifully duet perfectly situation movie appreciate subtle excellent film,positive
1613,story unfolds th century use period music played period one fine touch,positive
1614,share exquisite joy even though watching movie wish small sample,positive
1615,understated film leaf lasting,positive
1616,warmth contrast,positive
1617,leave theater go dance star,positive
1618,acting youd expect cast top,positive
1619,character surprisingly well particularly actor deliver sharply line right amount tongue cheek make dialogue hilarious realistic,positive
1620,also turn good performance somewhat brief memorable role doctor quinn,positive
1621,conclusion loved,positive
1622,long time since movie,positive
1623,struggle find anything bad say,positive
1624,mark word one cult film like evil dead people still discovering falling love year line,positive
1625,pretty surprising wonderful film made hollywood generally head sand black white issue time,positive
1626,film deserves strong taking stand exceptional acting mostly cast script doesnt insult audience take easy way come white racism,positive
